MeasPlan.Name;VF_e_34
prodnum;123456789
vehiclecode;3
robot.MessplanID;3
text;25.6.22 20:55
MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification;MeasPlan.Rating;MeasPoint.Nominal;Meas.Date;Meas.Time;Tolerance.Name.0;Tolerance.Lower.0;Tolerance.Upper.0
FR_1L;G;unmeasured;mm;UNCLASSIFIED;1;7.000;;;OK;-1.500;1.500
FR_23L;G;unmeasured;mm;UNCLASSIFIED;1;2.000;;;OK;-2.000;1.000
FR_5L;G;unmeasured;mm;UNCLASSIFIED;1;7.000;;;OK;-1.500;1.500
FR_11L;G;unmeasured;mm;UNCLASSIFIED;1;2.000;;;OK;-2.000;1.000
FR_12L;F;unmeasured;mm;UNCLASSIFIED;1;-0.500;;;OK;-0.500;0.500
FR_12L;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;0.500
FR_9_1L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-1.000;1.000
FR_9_1L;G;unmeasured;mm;UNCLASSIFIED;1;3.500;;;OK;-1.200;1.200
FR_9_2L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-1.000;1.000
FR_9_2L;G;unmeasured;mm;UNCLASSIFIED;1;3.500;;;OK;-1.200;1.200
FR_13L;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;0.500
SW_34_1L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-1.000;1.000
SW_34_1L;G;unmeasured;mm;UNCLASSIFIED;1;4.000;;;OK;-1.000;1.000
SW_34_2L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-1.000;1.000
SW_34_2L;G;unmeasured;mm;UNCLASSIFIED;1;4.000;;;OK;-1.000;1.000
FR_7L;G;unmeasured;mm;UNCLASSIFIED;1;4.000;;;OK;-1.500;1.500
FR_6L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-0.500;0.500
FR_6L;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;0.500
SW_6L;G;unmeasured;mm;UNCLASSIFIED;1;4.500;;;OK;-1.200;1.200
SW_9L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-1.000;1.000
SW_9L;G;unmeasured;mm;UNCLASSIFIED;1;4.000;;;OK;-1.000;1.000
SW_12L;G;unmeasured;mm;UNCLASSIFIED;1;4.500;;;OK;-1.200;1.200
RF_26L;F;unmeasured;mm;UNCLASSIFIED;1;-1.000;;;OK;-1.000;1.000
RF_26L;G;unmeasured;mm;UNCLASSIFIED;1;7.000;;;OK;-1.000;1.000
RF_27L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-0.500;0.500
RF_27L;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;2.000
SW_29L;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;0.500
SW_27_1L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-1.000;1.000
SW_27_1L;G;unmeasured;mm;UNCLASSIFIED;1;4.000;;;OK;-1.000;1.000
SW_27_2L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-1.000;1.000
SW_27_2L;G;unmeasured;mm;UNCLASSIFIED;1;4.000;;;OK;-1.000;1.000
SW_25L;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;0.500
SW_19L;G;unmeasured;mm;UNCLASSIFIED;1;0.500;;;OK;-0.500;0.500
SW_17_1L;F;unmeasured;mm;UNCLASSIFIED;1;0.000;;;OK;-1.000;1.000
